Trajectories
100
,,ADL010:RSHO1,,,ADL010:RSHO2,,,ADL010:RSHO3,,,ADL010:RSHO4,,,ADL010:RUAR1,,,ADL010:RUAR2,,,ADL010:RUAR3,,,ADL010:RUAR4,,,ADL010:RLAR1,,,ADL010:RLAR2,,,ADL010:RLAR3,,,ADL010:RLAR4,,,ADL010:RHAN1,,,ADL010:RHAN2,,,ADL010:RHAN3,,,ADL010:RHAN4,,,ADL010:RFTP,,,ADL010:LSHO1,,,ADL010:LSHO2,,,ADL010:LSHO3,,,ADL010:LSHO4,,,ADL010:LUAR1,,,ADL010:LUAR2,,,ADL010:LUAR3,,,ADL010:LUAR4,,,ADL010:LLAR1,,,ADL010:LLAR2,,,ADL010:LLAR3,,,ADL010:LLAR4,,,ADL010:LHAN1,,,ADL010:LHAN2,,,ADL010:LHAN3,,,ADL010:LHAN4,,,ADL010:LFTP,,,ADL010:STRN,,,ADL010:RGTH,,,ADL010:RLEP,,,ADL010:RMEP,,,ADL010:RSPR,,,ADL010:RSPU,,,ADL010:RFB,,,ADL010:RTHUM,,,ADL010:LGTH,,,ADL010:LLEP,,,ADL010:LMEP,,,ADL010:LSPR,,,ADL010:LSPU,,,ADL010:LFB,,,ADL010:LTHUM,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,69.088043,-254.422577,343.405060,71.449265,-316.332855,343.051025,126.756447,-312.399689,317.605072,124.057419,-250.814590,331.229340,173.776154,-248.235779,191.592575,149.170044,-298.315491,159.968567,160.308243,-267.397980,82.045891,173.831711,-216.585068,117.328323,164.353165,-125.379044,72.817932,185.485031,-132.452347,15.717030,165.727188,-35.251873,18.329805,151.962631,-60.722069,77.270508,129.262054,43.755772,84.763756,176.828461,28.270117,71.513893,180.577988,54.082062,61.493343,154.745270,61.558529,98.701065,146.621353,170.566681,51.259293,-154.363113,-251.501984,344.108856,-160.649841,-307.408020,340.149841,-214.839157,-310.298584,308.660217,-208.448639,-241.110687,321.090637,-244.244888,-223.815567,181.273346,-238.085510,-289.251007,176.254410,-242.927414,-265.578430,102.886635,-248.276321,-202.526901,102.013451,-233.991058,-133.725418,73.987083,-261.326172,-118.431252,24.790598,-245.380157,-36.973705,35.297878,-208.059830,-54.126804,81.636993,-182.203644,61.559994,81.031563,-228.662094,51.266102,77.825356,-239.901047,76.076538,60.534878,-217.479507,85.694992,95.008324,-183.080307,175.248489,52.181545,-39.586285,-203.507416,318.079193,,,,,,,,,,,,,,,,132.487762,89.204247,72.783417,83.033928,114.844940,48.661041,,,,,,,,,,,,,,,,-181.532043,102.355339,69.500450,-133.144287,109.719414,50.146645
2,0,69.069038,-254.426651,343.458252,71.469101,-316.341644,343.066895,126.772133,-312.394745,317.644104,124.078972,-250.806335,331.273193,173.805664,-248.235260,191.624619,149.262909,-298.357086,160.010544,160.298004,-267.418152,82.094391,173.852310,-216.631378,117.350418,164.353714,-125.389221,72.825623,185.498856,-132.452133,15.746251,165.725250,-35.263828,18.374800,151.970901,-60.711864,77.281723,129.265472,43.760502,84.774841,176.799347,28.252993,71.508301,180.565643,54.076355,61.500992,154.934906,61.537788,98.563713,146.625015,170.550247,51.256012,-154.344925,-251.497589,344.130920,-160.626419,-307.451660,340.255859,-214.845047,-310.289307,308.687927,-208.441193,-241.108734,321.112000,-244.235382,-223.793167,181.317169,-238.144760,-289.218323,176.307526,-242.973694,-265.544952,102.941673,-248.316025,-202.460602,102.077934,-234.017700,-133.705444,74.001923,-261.395996,-118.399323,24.822193,-245.385941,-36.969337,35.290318,-208.047714,-54.069916,81.619476,-182.196442,61.561703,81.057808,-228.614899,51.274391,77.847328,-239.896530,76.083237,60.569637,-217.451675,85.697708,95.004395,-183.044952,175.222778,52.140888,-39.819073,-203.913254,317.970062,,,,,,,,,,,,,,,,132.475830,89.195313,72.784286,83.039307,114.847237,48.657223,,,,,,,,,,,,,,,,-181.541687,102.365395,69.507675,-133.146912,109.720718,50.140133
3,0,69.086365,-254.404633,343.500122,71.459572,-316.321259,343.121765,126.804504,-312.391785,317.677765,124.077110,-250.792831,331.299927,173.819824,-248.231873,191.644516,149.184662,-298.285889,160.089478,160.290100,-267.416656,82.128593,173.849670,-216.578415,117.368675,164.362518,-125.365761,72.850136,185.589874,-132.487976,15.782222,165.734955,-35.246197,18.354410,151.973358,-60.708649,77.283981,129.262512,43.754452,84.767395,176.809387,28.256483,71.529968,180.547958,54.066639,61.522575,154.707916,61.551647,98.737442,146.624695,170.557892,51.259212,-154.352188,-251.497391,344.165680,-160.609726,-307.479279,340.290436,-214.850250,-310.274475,308.720642,-208.463074,-241.086868,321.165466,-244.209015,-223.835312,181.225052,-238.194855,-289.195618,176.392456,-243.068588,-265.509277,103.008644,-248.344955,-202.476059,102.106201,-234.093628,-133.693237,74.037544,-261.431183,-118.376724,24.887049,-245.382355,-36.987370,35.285160,-208.062943,-54.087578,81.604645,-182.171539,61.555149,81.049438,-228.642029,51.262192,77.816261,-239.883942,76.071358,60.519112,-217.455200,85.696335,94.998749,-183.094681,175.231750,52.184116,-39.584824,-203.514481,318.126343,,,,,,,,,,,,,,,,132.506683,89.214302,72.752403,83.029984,114.841560,48.663399,,,,,,,,,,,,,,,,-181.507477,102.368317,69.476143,-133.150345,109.717422,50.125542
4,0,69.100990,-254.395065,343.529388,71.493042,-316.308716,343.152039,126.823250,-312.368439,317.696228,124.101204,-250.775574,331.323608,173.858551,-248.223724,191.674271,149.201279,-298.256500,160.105759,160.310074,-267.419617,82.155548,173.892273,-216.603271,117.406784,164.381546,-125.361679,72.860802,185.577301,-132.443542,15.774688,165.727005,-35.244915,18.337507,151.972488,-60.703030,77.293182,129.258911,43.766068,84.767471,176.801086,28.261629,71.523712,180.564682,54.085388,61.512062,154.707870,61.562321,98.734406,146.625214,170.545517,51.248352,-154.365326,-251.482941,344.197144,-160.643524,-307.414764,340.324066,-214.840134,-310.262726,308.773712,-208.427002,-241.089249,321.202545,-244.189133,-223.789749,181.242950,-238.256393,-289.138580,176.447281,-243.119781,-265.489777,103.079033,-248.393570,-202.432892,102.142563,-234.096741,-133.697784,74.054146,-261.457153,-118.380089,24.899948,-245.384567,-36.980007,35.292732,-208.100418,-54.082954,81.643684,-182.141525,61.575798,81.041374,-228.654343,51.260601,77.818787,-239.905396,76.089127,60.577606,-217.442459,85.700577,94.994865,-183.041718,175.217880,52.145466,-39.654598,-203.619492,318.110077,,,,,,,,,,,,,,,,132.500168,89.242508,72.752251,83.038498,114.847176,48.661545,,,,,,,,,,,,,,,,-181.523285,102.351295,69.491219,-133.153610,109.699684,50.123474
5,0,69.130341,-254.398026,343.530731,71.518745,-316.305084,343.148407,126.866058,-312.363281,317.693665,124.100555,-250.770096,331.327118,173.908569,-248.215378,191.702927,149.342590,-298.331421,160.121750,160.356979,-267.407379,82.158669,173.969894,-216.557327,117.446030,164.387695,-125.365822,72.855232,185.586182,-132.432693,15.804987,165.744400,-35.249882,18.355207,151.992584,-60.701759,77.288460,129.264053,43.754532,84.751419,176.809113,28.268492,71.535904,180.577637,54.082989,61.499420,154.727936,61.559101,98.728333,146.620239,170.553970,51.253258,-154.384369,-251.464005,344.218933,-160.615326,-307.424316,340.348694,-214.834534,-310.255157,308.792603,-208.443634,-241.039581,321.224548,-244.202972,-223.795792,181.253479,-238.279419,-289.152466,176.479599,-243.164352,-265.448608,103.104752,-248.407547,-202.441925,102.154541,-234.108780,-133.697525,74.050400,-261.477509,-118.377052,24.925266,-245.402771,-36.976017,35.304646,-208.121902,-54.078537,81.646660,-182.147369,61.552414,81.022682,-228.630432,51.265450,77.803612,-239.870758,76.091118,60.560406,-217.423370,85.714119,95.013680,-183.020706,175.191589,52.146046,-39.574924,-203.510361,318.141724,,,,,,,,,,,,,,,,132.484711,89.202538,72.786507,83.027863,114.842499,48.661983,,,,,,,,,,,,,,,,-181.502213,102.355751,69.466087,-133.128601,109.704330,50.123917
6,0,69.126656,-254.384689,343.510590,71.504425,-316.303619,343.158600,126.871841,-312.357727,317.695282,124.107552,-250.765656,331.332184,173.932755,-248.197128,191.696915,149.265915,-298.235718,160.121582,160.411362,-267.405792,82.171593,173.946823,-216.584625,117.407944,164.394684,-125.350235,72.863541,185.587677,-132.417313,15.793800,165.763138,-35.237015,18.341097,152.006622,-60.714432,77.280380,129.260300,43.767200,84.762199,176.806885,28.280087,71.525948,180.563126,54.080093,61.504257,154.750641,61.555740,98.700737,146.630936,170.556290,51.249638,-154.344986,-251.468002,344.208496,-160.612717,-307.440399,340.344513,-214.843857,-310.253784,308.785278,-208.418045,-241.037552,321.234497,-244.235733,-223.799545,181.308899,-238.288223,-289.169647,176.507721,-243.181458,-265.483032,103.112022,-248.399811,-202.424469,102.205452,-234.154251,-133.669067,74.062866,-261.506653,-118.350677,24.918238,-245.411880,-36.991379,35.292660,-208.126801,-54.085445,81.642838,-182.131775,61.577961,80.999199,-228.631638,51.274464,77.816032,-239.921753,76.140198,60.574425,-217.409821,85.704369,95.000847,-183.034180,175.222137,52.149818,-39.699047,-203.746460,318.104034,,,,,,,,,,,,,,,,132.501923,89.207161,72.753822,82.998337,114.871315,48.665909,,,,,,,,,,,,,,,,-181.523758,102.351387,69.458954,-133.132034,109.713531,50.119808
7,0,69.114159,-254.357941,343.525421,71.508522,-316.304840,343.130127,126.883522,-312.362640,317.673584,124.138329,-250.749557,331.341064,173.863861,-248.128906,191.661041,149.289642,-298.244049,160.114197,160.455536,-267.417816,82.184410,173.993973,-216.574799,117.427925,164.437225,-125.344856,72.855995,185.626190,-132.460266,15.801840,165.753311,-35.238579,18.346306,152.015427,-60.692951,77.300148,129.252151,43.766144,84.756508,176.828812,28.264620,71.509293,180.561356,54.092106,61.514286,154.745193,61.556381,98.685349,146.622025,170.554504,51.245728,-154.331940,-251.476501,344.216858,-160.643112,-307.398132,340.308899,-214.846649,-310.227509,308.799896,-208.408676,-241.022141,321.230011,-244.278870,-223.748672,181.391693,-238.324127,-289.152863,176.507813,-243.220184,-265.461945,103.139938,-248.425583,-202.444397,102.228210,-234.171799,-133.674606,74.066956,-261.509979,-118.355492,24.893559,-245.456589,-36.937752,35.303280,-208.126755,-54.085129,81.643806,-182.156967,61.561668,80.989578,-228.641449,51.263641,77.811897,-239.803818,76.093262,60.510025,-217.432007,85.685822,95.003517,-183.050735,175.213348,52.181961,-39.590191,-203.535599,318.135437,,,,,,,,,,,,,,,,132.501419,89.250664,72.747704,83.003044,114.875320,48.661388,,,,,,,,,,,,,,,,-181.515381,102.365440,69.450905,-133.142471,109.704689,50.134281
8,0,69.108597,-254.384399,343.525360,71.532784,-316.322083,343.108612,126.871216,-312.393951,317.687073,124.116821,-250.770950,331.353516,173.874969,-248.128159,191.669266,149.368607,-298.244141,160.121872,160.591461,-267.400055,82.200584,174.020477,-216.554916,117.431992,164.459656,-125.327660,72.866982,185.662796,-132.444977,15.803350,165.762054,-35.238155,18.331165,152.029572,-60.691769,77.303192,129.252899,43.778976,84.766136,176.816498,28.263309,71.503670,180.561615,54.084621,61.503975,154.725647,61.550739,98.700043,146.623413,170.574158,51.265312,-154.273834,-251.480728,344.189240,-160.598770,-307.446625,340.334045,-214.851028,-310.230438,308.794312,-208.400131,-241.036026,321.214661,-244.350311,-223.683365,181.528503,-238.298569,-289.176544,176.493942,-243.225159,-265.482758,103.134209,-248.502701,-202.422989,102.268089,-234.208405,-133.659317,74.099724,-261.518250,-118.386070,24.874002,-245.457703,-36.950447,35.292656,-208.136719,-54.086918,81.642822,-182.140198,61.575020,80.999214,-228.639282,51.274361,77.799973,-239.879150,76.153275,60.550625,-217.396591,85.703598,95.015694,-183.036209,175.214615,52.151802,-39.626987,-203.647934,318.142242,,,,,,,,,,,,,,,,132.488007,89.245964,72.746353,83.026787,114.848846,48.653767,,,,,,,,,,,,,,,,-181.513214,102.368561,69.457901,-133.135757,109.723267,50.127365
9,0,69.142418,-254.377686,343.516388,71.536652,-316.300537,343.108765,126.899200,-312.382538,317.690430,124.127090,-250.764526,331.361023,173.903748,-248.102386,191.693069,149.401550,-298.234680,160.118256,160.630753,-267.358856,82.180458,174.034744,-216.475906,117.440742,164.497925,-125.313980,72.847328,185.658218,-132.448059,15.790029,165.761765,-35.234802,18.337925,152.046661,-60.667194,77.313675,129.262100,43.773037,84.778580,176.817993,28.266462,71.498695,180.549942,54.083141,61.504269,154.928329,61.543148,98.554390,146.608673,170.558868,51.240147,-154.290237,-251.438766,344.207367,-160.571030,-307.444427,340.329590,-214.856522,-310.217682,308.817963,-208.404678,-241.025986,321.223633,-244.351425,-223.704498,181.511475,-238.313583,-289.173065,176.497864,-243.228577,-265.470490,103.145401,-248.504150,-202.417694,102.267998,-234.246246,-133.630600,74.116653,-261.527588,-118.365311,24.893156,-245.450317,-36.941669,35.275452,-208.141632,-54.104980,81.633186,-182.146255,61.581169,81.005028,-228.629044,51.261570,77.802109,-239.895386,76.132034,60.536179,-217.405762,85.699135,95.026970,-183.026077,175.225632,52.152740,-39.647114,-203.688156,318.120514,,,,,,,,,,,,,,,,132.460526,89.236145,72.787750,83.002670,114.874023,48.657593,,,,,,,,,,,,,,,,-181.513596,102.364990,69.442657,-133.141617,109.716141,50.108398
