Finger Velocity,Scap_X,Scap_Y,Scap_Z,Shoulder horiz abd-adduction,Shoulder flexion-extension,Shoulder internal-external rotation,elbow flexion-extension,forearm pronation-supination,wrist flexion-extension,wrist radial-ulnar deviation
0.568209685253158,-11.1615099406619,-14.2098140843253,8.10224134633269,-22.9909274625388,-47.0859089023737,-9.62452520711028,71.0898636218177,-17.6164234861075,23.7546262206392,-41.8214320230149
0.712404452253752,-11.1887920573309,-14.2330524730548,8.08044975070625,-22.9875590066775,-47.037954515827,-9.6294067094505,71.1774538159748,-17.5064825332634,23.8557621338397,-41.940188928823
0.942602374899886,-11.2173762504453,-14.2558630577782,8.05581429654222,-22.9668678782708,-46.9676068816443,-9.62302148923306,71.25497040846,-17.3847966995767,23.9547541073111,-42.0593307915442
1.23817813919889,-11.2468902646205,-14.2778080977243,8.02840449156173,-22.9255713539007,-46.8718545709553,-9.60312169871597,71.3176065240277,-17.2519987889334,24.0494833124572,-42.1765228148244
1.58610031481903,-11.2768537707106,-14.2984151980942,7.99835126707386,-22.860399314745,-46.7476902087984,-9.56745416834432,71.3600861904015,-17.1089803031014,24.1376825282767,-42.2892098075283
1.97891972695646,-11.3066715988972,-14.3171837197693,7.96584904633548,-22.7681739675442,-46.5921464641064,-9.5138195230511,71.3766992446472,-16.9568957657717,24.2169713122306,-42.394649198471
2.41183502852445,-11.3356287914689,-14.3335924498985,7.93115632635716,-22.645893005961,-46.4023306555147,-9.44013617049792,71.3613453439204,-16.797162193821,24.284893448681,-42.489948235265
2.88111430199809,-11.362887788735,-14.347108381331,7.89459463208195,-22.490813120006,-46.1754574986358,-9.34450704579681,71.3075869489155,-16.6314537095457,24.3389547573099,-42.572103883938
3.38334670007931,-11.3874880371613,-14.3571963874097,7.85654574147151,-22.3005305078983,-45.908879813379,-9.22528667124825,71.2087111169701,-16.4616914879274,24.3766593707305,-42.6380438924256
3.91508837829654,-11.4083482742135,-14.363329526961,7.81744712798788,-22.0730550010411,-45.6001173033142,-9.08114590797356,71.0577999081079,-16.2900294006938,24.3955428233657,-42.6846676055945
4.47269485910268,-11.4242716972822,-14.3649996768616,7.77778562263049,-21.8068745968785,-45.2468837764154,-8.91113175652292,70.847809153132,-16.1188358191274,24.3932007423496,-42.7088854229537
5.05224678553575,-11.4339541631206,-14.3617281692015,7.73808935725185,-21.5010075966784,-44.8471133687633,-8.71471970227142,70.5716552437573,-15.9506720399911,24.3673125617941,-42.7076562196399
5.64952629426125,-11.4359954904267,-14.3530761084315,7.69891810896974,-21.1550401306962,-44.3989864399043,-8.49185637985554,70.2223094729971,-15.788267687492,24.3156603875056,-42.6780224985678
6.26002327296407,-11.4289138545006,-14.3386540607997,7.66085221840752,-20.7691475719871,-43.9009558177644,-8.24299072098859,69.7928992785698,-15.6344932239771,24.2361437604256,-42.6171433837446
6.87896076730789,-11.4111631737943,-14.3181308413843,7.6244803012549,-20.344099136027,-43.3517739760836,-7.96909221622634,69.2768155258861,-15.4923294018425,24.1267914704128,-42.5223257318613
7.50133352973386,-11.3811532995313,-14.2912411689704,7.59038601364129,-19.8812457757843,-42.7505215309191,-7.67165542162865,68.6678247139511,-15.3648331598121,23.9857717239461,-42.3910536557652
8.12195602189309,-11.3372727374123,-14.2577920111643,7.55913416764345,-19.3824922507643,-42.0966371569618,-7.35269033332844,67.9601847019057,-15.2550991744888,23.8114019337461,-42.2210167099556
8.73551735637492,-11.2779135588769,-14.2176674968361,7.53125652494565,-18.8502549225343,-41.3899486701236,-7.01469870402881,67.1487622447189,-15.1662160948846,23.6021592729177,-42.0101369738511
9.33664127234226,-11.20149809968,-14.1708323262213,7.50723762578329,-18.2874073714977,-40.6307046282695,-6.660636768481,66.2291503083068,-15.101216481751,23.3566929950707,-41.7565953239597
9.91994956303267,-11.1065069946972,-14.1173336580222,7.48750103728821,-17.6972163177878,-39.8196054003098,-6.29386517753882,65.1977828234512,-15.0630196976914,23.0738393984625,-41.4588572998143
10.4801275508969,-10.9915080582107,-14.0573014956711,7.47239642766646,-17.0832705529323,-38.9578322804247,-5.91808721987219,64.0520442474999,-15.0543674705628,22.7526402095231,-41.1156990986386
11.011990311387,-10.8551854872181,-13.990947629506,7.46218788535236,-16.4494056496481,-38.047072913039,-5.53727665079534,62.7903710438788,-15.07775256511,22.3923650629364,-40.7262343344407
11.5105484183392,-10.6963688410517,-13.9185632163702,7.45704390078231,-15.7996271277254,-37.0895410753107,-5.15559666520235,61.4123419774284,-15.1353418967506,21.9925386246726,-40.2899422295795
11.9710720441857,-10.5140612339465,-13.8405150937026,7.45702941001261,-15.1380345363318,-36.0879887635047,-4.77731176138802,59.9187539848853,-15.2288964383017,21.5529726834984,-39.806697827005
12.389152308935,-10.3074661685959,-13.7572409347864,7.46210026245421,-14.4687485922381,-35.0457085720708,-4.40669445766492,58.3116803524152,-15.3596913229059,21.0738031723628,-39.2768045676157
12.7607588396296,-10.0760124386695,-13.6692433595461,7.47210041819878,-13.7958431166604,-33.9665245592878,-4.0479290540898,56.5945080598644,-15.5284405295481,20.5555315588632,-38.7010291358585
13.0822925802118,-9.81937653684167,-13.5770831237323,7.48676210362453,-13.1232830747305,-32.8547701685407,-3.70501487938386,54.7719514752697,-15.7352313143341,19.9990693874873,-38.0806378437444
13.3506329818118,-9.53750202207035,-13.4813715186323,7.50570905924541,-12.4548695812686,-31.7152523097649,-3.38167171682622,52.8500401327027,-15.9794739599451,19.4057839977646,-37.4174330343069
