Finger Velocity,Scap_X,Scap_Y,Scap_Z,Shoulder horiz abd-adduction,Shoulder flexion-extension,Shoulder internal-external rotation,elbow flexion-extension,forearm pronation-supination,wrist flexion-extension,wrist radial-ulnar deviation
1.00261332099285,-11.8478695946783,-33.056811305811,8.70915561980476,-20.7383354041845,-37.1955588624295,-11.4025318226399,80.537814472644,-31.3317661890275,12.1648518125558,-27.4314565800608
1.24076011107578,-11.906525959892,-33.0180342808104,8.65381745108844,-20.8236332864877,-37.0847213764485,-11.4746484488602,80.4685652373241,-30.9723585352918,11.881151222857,-27.2858926252598
1.49217978428184,-11.9674824201533,-32.9788212916541,8.59448940915803,-20.9122873940156,-36.9685427509067,-11.5446683581632,80.4020317769911,-30.5917250934977,11.5508981345296,-27.1003458684163
1.75494917835213,-12.0304839454645,-32.9394099155331,8.53124421665659,-21.0037138703982,-36.8474257481383,-11.6119587815226,80.338908470293,-30.1909557345647,11.1721001097992,-26.8720568981111
2.02696138685266,-12.095279733976,-32.9000360069469,8.46415841961315,-21.0972316804478,-36.7217906414773,-11.6758814771145,80.279794239666,-29.7713195466154,10.7435650529235,-26.5990252898442
2.30593648229918,-12.1616300775446,-32.860928945353,8.39330807696919,-21.1920679706439,-36.592060350142,-11.735798417448,80.2251695473195,-29.3342398722579,10.2650085322878,-26.2801416772712
2.589444365891,-12.2293124272698,-32.8223069605166,8.31876516411728,-21.2873662545557,-36.4586445007724,-11.7910778221426,80.175375656111,-28.8812660103086,9.73712712306065,-25.9152862195078
2.87493481931398,-12.2981263748526,-32.7843726780956,8.2405948892579,-21.3821973641033,-36.321922860736,-11.8411006044178,80.1305967916309,-28.4140425523851,9.16162918346865,-25.5053835666224
3.15977241640425,-12.3678973140325,-32.7473090156309,8.15885406106497,-21.4755729942107,-36.1822286465584,-11.8852672833972,80.0908457269738,-27.934277415724,8.54121725556191,-25.0524072261249
3.44127488162683,-12.4384786097736,-32.7112755442766,8.07359057543059,-21.5664615538873,-36.0398322506085,-11.9230053782377,80.0559531798361,-27.4437096658124,7.87952010357669,-24.5593301658583
3.71675383884478,-12.5097521793182,-32.6764054179515,7.98484401633206,-21.6538059286776,-35.894925943464,-11.9537772499076,80.0255612699951,-26.9440781892616,7.18097687229574,-24.0300231423228
3.9835570363887,-12.5816274718688,-32.6428029582062,7.8926473000277,-21.7365426701123,-35.7476100951641,-11.9770882979999,79.9991211431774,-26.4370921765084,6.45068036566831,-23.4691070131575
