Finger Velocity,Scap_X,Scap_Y,Scap_Z,Shoulder horiz abd-adduction,Shoulder flexion-extension,Shoulder internal-external rotation,elbow flexion-extension,forearm pronation-supination,wrist flexion-extension,wrist radial-ulnar deviation
0.61964462575376,-13.4154103056783,-9.36285052372397,6.31283989444269,-44.6948877503812,-39.518828447308,-11.3251942221464,62.5697770841419,-15.6602481888882,-40.5800907306415,22.4697410011428
0.753318797676336,-13.3912532832017,-9.37962897105527,6.3041315818446,-44.6884530448761,-39.5251662616891,-11.3428139803625,62.6693400737848,-15.5563865613422,-40.5393892757556,22.2543669704291
0.902146013569699,-13.3658044976783,-9.39511654318774,6.29339614091062,-44.6729824786331,-39.5327630830968,-11.3535179480253,62.7730757389733,-15.4555130986115,-40.4992571659555,22.0280823615747
1.06507982598125,-13.3388941070524,-9.40911499868878,6.28044658724826,-44.6470218918494,-39.5412312631144,-11.3562866442655,62.8800290059346,-15.358142680689,-40.4611850132563,21.7931925756568
1.24128404811077,-13.310323426117,-9.42145206144684,6.26511512625304,-44.6090765746891,-39.5500874637798,-11.3501049298955,62.9891290339699,-15.2647323759652,-40.4266627998862,21.5521701296166
1.43002221210091,-13.2798656245592,-9.43198474093848,6.24725701292151,-44.5576269390211,-39.558753165526,-11.3339755324489,63.0991983093446,-15.1756810233023,-40.3971158717465,21.3075880951127
1.63059578341478,-13.2472671415995,-9.44060169718111,6.22675385853939,-44.4911457038753,-39.5665572603442,-11.306933555579,63.2089632458966,-15.0913307020696,-40.3738386560229,21.0620496248118
1.84231065164007,-13.2122498058088,-9.44722457673722,6.20351627009238,-44.4081164635723,-39.5727407042626,-11.2680619017463,63.317066094889,-15.0119698334622,-40.3579294119495,20.8181167459649
2.06445984885921,-13.1745136300037,-9.45180828473053,6.1774857319347,-44.3070534598392,-39.5764631499132,-11.2165074964579,63.422077981594,-14.9378375659849,-40.3502294804854,20.5782416236242
2.29631561025126,-13.133740230715,-9.45434019523041,6.14863566627687,-44.1865223229079,-39.5768114382807,-11.1514981480834,63.5225128923061,-14.8691290350919,-40.3512703914453,20.3447032811243
2.53712679502397,-13.0895967994409,-9.45483833868155,6.11697163654535,-44.0451614803556,-39.5728098016292,-11.0723598068554,63.6168424339205,-14.8060010611091,-40.3612318288998,20.1195523654644
2.78611930267299,-13.0417405307667,-9.45334864149587,6.08253068404608,-43.8817038573881,-39.5634316152175,-10.9785339013707,63.7035111828591,-14.7485778603863,-40.3799128992603,19.9045660289361
3.04249804063142,-12.9898233937245,-9.44994132959181,6.04537981366587,-43.6949984139517,-39.5476125278588,-10.8695943369897,63.7809524339626,-14.6969563859345,-40.4067184473381,19.7012144151893
3.30544954677051,-12.9334971198711,-9.44470664315435,6.00561366873213,-43.4840309913643,-39.5242647933537,-10.7452636466661,63.8476041540616,-14.6512109800625,-40.4406613630111,19.5106396095177
