Finger Velocity,Scap_X,Scap_Y,Scap_Z,Shoulder horiz abd-adduction,Shoulder flexion-extension,Shoulder internal-external rotation,elbow flexion-extension,forearm pronation-supination,wrist flexion-extension,wrist radial-ulnar deviation
1.67024775114515,-23.0100880506135,-7.69535882589597,11.0644950905743,-22.5918311301453,-57.6080263141792,-36.3175318410031,67.2515588328182,-24.5881378768228,23.8833033490447,-38.367024683456
1.91235828198434,-22.9719858976515,-7.75611126788901,11.053645739561,-22.4711198465256,-57.3626142086247,-36.2589285458603,67.4426914678504,-24.2926566185544,25.4674621692539,-39.4940685862341
2.32936981209817,-22.9354129911644,-7.8120466769078,11.0439915187383,-22.3601332228745,-57.0807125977992,-36.1880957258963,67.678615740888,-23.9778459015278,27.0167462726678,-40.5260575506638
2.90113583390109,-22.9008693779135,-7.86161839050519,11.0353825613809,-22.2599912958903,-56.7598848431835,-36.1039979621943,67.9616705118483,-23.6423373420611,28.5124760632255,-41.4462851608106
3.60360766252318,-22.8688150181207,-7.90325850704632,11.027580346102,-22.1715166450137,-56.397859077859,-36.0055186973801,68.2938002623342,-23.2844151269096,29.9395281056081,-42.2428870920466
4.41810662074764,-22.8396546235531,-7.93540445793064,11.0202546282231,-22.0952004693159,-55.9925658726772,-35.8914545203329,68.6765253498409,-22.9019875408135,31.2860088179954,-42.9084627588294
5.33112339693937,-22.8137231726668,-7.95652633547594,11.0129823808427,-22.0311783729629,-55.5421749334678,-35.7605145491162,69.1109209128136,-22.4925721210127,32.5427527332225,-43.4394659183742
6.33225847247694,-22.7912726365283,-7.96515428698668,11.0052487785391,-21.9792166973584,-55.0451303696105,-35.6113259251089,69.5976045601013,-22.0532970623014,33.7027600980318,-43.8354844470431
7.41261797341512,-22.7724604187793,-7.95990527528556,10.9964502243242,-21.9387097420214,-54.5001840315387,-35.4424460697586,70.1367326710111,-21.5809210986953,34.7606597192737,-44.098504972397
8.56384046544393,-22.7573399505106,-7.93950851909227,10.9858993958488,-21.908687725371,-53.906426343249,-35.2523819216136,70.728004834734,-21.0718736193696,35.7122506372511,-44.2322288175441
