Trajectories
100
,,ADL012:RSHO1,,,ADL012:RSHO2,,,ADL012:RSHO3,,,ADL012:RSHO4,,,ADL012:RUAR1,,,ADL012:RUAR2,,,ADL012:RUAR3,,,ADL012:RUAR4,,,ADL012:RLAR1,,,ADL012:RLAR2,,,ADL012:RLAR3,,,ADL012:RLAR4,,,ADL012:RHAN1,,,ADL012:RHAN2,,,ADL012:RHAN3,,,ADL012:RHAN4,,,ADL012:RFTP,,,ADL012:LSHO1,,,ADL012:LSHO2,,,ADL012:LSHO3,,,ADL012:LSHO4,,,ADL012:LUAR1,,,ADL012:LUAR2,,,ADL012:LUAR3,,,ADL012:LUAR4,,,ADL012:LLAR1,,,ADL012:LLAR2,,,ADL012:LLAR3,,,ADL012:LLAR4,,,ADL012:LHAN1,,,ADL012:LHAN2,,,ADL012:LHAN3,,,ADL012:LHAN4,,,ADL012:LFTP,,,ADL012:STRN,,,ADL012:RGTH,,,ADL012:RLEP,,,ADL012:RMEP,,,ADL012:RSPR,,,ADL012:RSPU,,,ADL012:RFB,,,ADL012:RTHUM,,,ADL012:LGTH,,,ADL012:LLEP,,,ADL012:LMEP,,,ADL012:LSPR,,,ADL012:LSPU,,,ADL012:LFB,,,ADL012:LTHUM,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,80.137024,-115.188423,337.317688,99.436470,-171.736664,352.866089,154.460205,-157.578674,329.465546,133.097260,-97.778900,327.223419,219.392853,-145.975464,225.548431,201.555252,-206.611847,206.302216,228.424850,-206.760788,128.975281,244.804596,-149.628082,152.313232,228.101044,-69.971344,81.799683,263.556091,-84.185684,33.823235,233.225311,7.886776,9.110236,207.972794,-8.434264,68.374001,172.360764,94.745476,54.797283,221.812256,88.628128,40.562073,221.139511,112.401382,31.719246,194.898682,116.466103,68.561119,161.046249,214.407623,21.522907,-159.197952,-133.750076,342.149078,-171.459061,-189.671051,342.379547,-224.217377,-188.741776,308.378235,-210.418671,-120.259804,314.420135,-252.817001,-114.468475,203.888596,-272.681671,-173.293243,217.384247,-274.741669,-178.155334,137.088348,-267.519257,-117.905693,120.882187,-257.885986,-80.543274,67.860352,-287.272644,-69.466515,18.373600,-266.402100,11.803797,18.755100,-226.471817,-2.430146,63.983841,-197.118011,115.871902,56.140934,-243.296402,106.129066,46.979847,-251.762634,130.599213,28.634302,-234.629059,140.188416,66.721893,-191.298431,235.386108,21.056580,-39.883827,-82.085159,282.270325,,,,,,,,,,,,,,,,165.764328,142.067444,43.855480,114.259201,156.864044,16.309015,,,,,,,,,,,,,,,,-194.569305,160.571030,46.066059,-139.071136,172.264099,17.325623
2,0,80.135834,-115.189041,337.299652,99.477943,-171.697830,352.835175,154.445862,-157.592712,329.468872,133.089020,-97.778885,327.220825,219.378174,-145.967773,225.566513,201.543747,-206.624802,206.299149,228.399231,-206.755035,128.966019,244.794144,-149.621536,152.328354,228.116928,-69.974220,81.803818,263.539795,-84.193672,33.822636,233.209122,7.877256,9.108244,207.936752,-8.432899,68.361496,172.334152,94.757034,54.813236,221.831833,88.634041,40.570847,221.116684,112.394508,31.711653,194.886581,116.372551,68.553307,161.043625,214.413010,21.523687,-159.223297,-133.779846,342.121826,-171.498093,-189.709091,342.359589,-224.220581,-188.783447,308.329987,-210.447464,-120.292656,314.400452,-252.832596,-114.480736,203.861038,-272.669250,-173.363083,217.351944,-274.767303,-178.160812,137.090363,-267.562469,-117.919205,120.914848,-257.904602,-80.550117,67.850327,-287.261108,-69.449829,18.365841,-266.412720,11.801740,18.771282,-226.479736,-2.445420,63.973209,-197.146271,115.895348,56.204243,-243.288361,106.134575,47.030113,-251.787994,130.632355,28.672207,-234.622101,140.194366,66.728973,-191.299362,235.381973,21.071379,-39.905170,-82.090897,282.274841,,,,,,,,,,,,,,,,165.767380,142.067139,43.843967,114.366653,156.937119,16.386280,,,,,,,,,,,,,,,,-194.523483,160.530258,46.012459,-139.082825,172.259933,17.328207
3,0,80.109306,-115.198051,337.300781,99.419212,-171.716064,352.850433,154.463272,-157.589066,329.492889,132.960571,-97.763474,327.125244,219.379684,-145.959595,225.561874,201.537155,-206.620453,206.309189,228.350525,-206.770706,128.970215,244.774673,-149.589905,152.302872,228.106644,-69.980354,81.811111,263.529938,-84.210609,33.806679,233.211823,7.858711,9.143433,207.948822,-8.427960,68.372513,172.349777,94.736992,54.812214,221.808365,88.623833,40.547592,221.113998,112.374489,31.756577,194.873077,116.449059,68.557526,161.028259,214.405960,21.531279,-159.229980,-133.831787,342.092804,-171.519531,-189.720871,342.357971,-224.249039,-188.783081,308.357147,-210.474045,-120.328293,314.415375,-252.865341,-114.505234,203.882004,-272.677094,-173.381882,217.338989,-274.765442,-178.178619,137.076492,-267.603424,-117.957024,120.872375,-257.918457,-80.542717,67.839462,-287.276154,-69.456139,18.359852,-266.407684,11.807780,18.756659,-226.490768,-2.448998,64.028999,-197.141693,115.882149,56.190533,-243.298599,106.129700,47.035671,-251.808197,130.620132,28.691776,-234.647064,140.186081,66.715973,-191.299271,235.388580,21.052599,-39.918484,-82.100197,282.267426,,,,,,,,,,,,,,,,165.746811,142.051392,43.868126,114.367348,156.933838,16.429173,,,,,,,,,,,,,,,,-194.577423,160.549576,46.067345,-139.068741,172.253662,17.333727
4,0,80.095070,-115.208626,337.348297,99.405823,-171.732910,352.915894,154.446701,-157.589813,329.502319,133.003433,-97.740227,327.166290,219.368744,-145.970322,225.573059,201.511688,-206.632050,206.315979,228.342590,-206.774628,128.991531,244.730850,-149.570374,152.343155,228.090378,-69.989632,81.807877,263.517212,-84.211288,33.815964,233.226044,7.869480,9.158448,207.946854,-8.435018,68.397682,172.322601,94.742508,54.809891,221.808075,88.629234,40.571323,221.128174,112.392830,31.723101,194.881592,116.394035,68.569878,161.034592,214.416580,21.535528,-159.238953,-133.851135,342.106842,-171.517685,-189.736176,342.345398,-224.236084,-188.854385,308.320709,-210.497925,-120.337860,314.399200,-252.870834,-114.523018,203.923126,-272.666107,-173.410187,217.339050,-274.781738,-178.207245,137.057358,-267.611877,-117.965401,120.875198,-257.931702,-80.548866,67.840454,-287.270508,-69.457947,18.347242,-266.387726,11.786283,18.740122,-226.496307,-2.449858,64.024147,-197.151993,115.889252,56.195412,-242.907135,105.924728,46.634174,-251.811264,130.622543,28.695644,-234.633896,140.187027,66.740387,-191.306656,235.379089,21.066687,-39.928066,-82.101471,282.258820,,,,,,,,,,,,,,,,165.758362,142.057251,43.858032,114.378319,156.951416,16.400909,,,,,,,,,,,,,,,,-194.590469,160.580597,46.067772,-139.081207,172.254562,17.341909
5,0,80.108986,-115.188789,337.310547,99.394257,-171.716370,352.889709,154.441147,-157.594620,329.495087,132.934677,-97.773125,327.105286,219.372559,-145.965103,225.567215,201.506744,-206.613235,206.345078,228.328506,-206.787781,128.972824,244.731491,-149.582397,152.301071,228.066757,-69.991028,81.795090,263.489410,-84.220078,33.835896,233.214478,7.873661,9.150765,207.917221,-8.440954,68.362076,172.347549,94.733894,54.800499,221.799408,88.635544,40.545788,221.119522,112.385323,31.724113,194.900146,116.416039,68.570595,161.035187,214.419785,21.537149,-159.269104,-133.859512,342.101868,-171.517532,-189.765121,342.325012,-224.230804,-188.891281,308.282288,-210.525803,-120.342545,314.408539,-252.877502,-114.544930,203.917358,-272.656128,-173.469894,217.323120,-274.781860,-178.223282,137.050079,-267.631134,-117.973900,120.899857,-257.978027,-80.500572,67.846771,-287.275055,-69.457954,18.336573,-266.405762,11.806976,18.769922,-226.487091,-2.465686,63.974796,-197.161850,115.897720,56.231251,-243.282532,106.102386,46.959591,-251.804352,130.626923,28.703075,-234.638199,140.188004,66.729454,-191.304947,235.383072,21.067274,-39.968334,-82.101730,282.236908,,,,,,,,,,,,,,,,165.754288,142.071808,43.885525,114.362129,156.914139,16.397781,,,,,,,,,,,,,,,,-194.569168,160.554520,46.071289,-139.100616,172.242996,17.374750
6,0,80.089897,-115.199471,337.348755,99.400642,-171.723068,352.877167,154.439972,-157.596298,329.486023,132.947632,-97.764397,327.104095,219.369232,-145.960022,225.555191,201.521545,-206.623001,206.319443,228.299911,-206.739502,128.966553,244.746750,-149.584396,152.302811,228.059219,-69.993645,81.789474,263.498749,-84.228149,33.845451,233.204300,7.868554,9.132902,207.919220,-8.440059,68.351685,172.350632,94.728508,54.806641,221.786362,88.625938,40.542675,221.132294,112.390678,31.717852,194.874741,116.415398,68.561325,161.028152,214.420822,21.529076,-159.273041,-133.891113,342.050323,-171.517593,-189.761505,342.323547,-224.254990,-188.872314,308.312592,-210.551010,-120.375313,314.372711,-252.895447,-114.555252,203.870209,-272.644348,-173.459473,217.308670,-274.802490,-178.234543,137.042099,-267.652557,-117.979378,120.898109,-258.005737,-80.532059,67.835495,-287.277466,-69.446533,18.334459,-266.424011,11.805335,18.774017,-226.511978,-2.467355,64.027702,-197.158707,115.878410,56.209896,-243.251266,106.086823,46.939079,-251.871490,130.677994,28.792253,-234.643127,140.188293,66.723778,-191.306900,235.391846,21.054255,-39.975948,-82.112724,282.233887,,,,,,,,,,,,,,,,165.741119,142.062729,43.878883,114.380867,156.937714,16.363985,,,,,,,,,,,,,,,,-194.566925,160.543045,46.055393,-139.103226,172.243607,17.368408
7,0,80.081146,-115.191132,337.351959,99.398560,-171.664490,352.864716,154.437180,-157.592102,329.477295,132.913513,-97.770546,327.066162,219.365982,-145.970108,225.549927,201.514206,-206.616821,206.339783,228.292084,-206.749527,128.966812,244.707352,-149.579926,152.260330,228.026932,-69.999123,81.804680,263.464325,-84.217842,33.829319,233.203201,7.874003,9.140942,207.888031,-8.460415,68.389397,172.358521,94.742340,54.782761,221.753677,88.677940,40.514896,221.083649,112.374229,31.688284,194.874634,116.418495,68.560959,161.037384,214.419678,21.518925,-159.289017,-133.910507,342.057251,-171.534698,-189.768967,342.340271,-224.259232,-188.897217,308.307068,-210.550964,-120.409996,314.361664,-252.923279,-114.569328,203.897141,-272.655975,-173.479752,217.319168,-274.808960,-178.241577,137.031876,-267.663330,-117.996605,120.862282,-258.005096,-80.527786,67.810905,-287.278931,-69.449318,18.332451,-266.438110,11.824669,18.790310,-226.517548,-2.493326,64.004745,-197.171844,115.872978,56.205482,-243.239532,106.057625,46.913223,-251.813736,130.621613,28.691864,-234.642288,140.190887,66.719154,-191.328384,235.376038,21.068731,-40.025578,-82.132423,282.262329,,,,,,,,,,,,,,,,165.726730,142.060944,43.890167,114.363831,156.927048,16.416405,,,,,,,,,,,,,,,,-194.504730,160.500122,45.963905,-139.113129,172.226440,17.357405
8,0,80.079582,-115.197304,337.371490,99.394669,-171.659134,352.883331,154.417526,-157.577591,329.454010,132.850464,-97.800323,327.003693,219.357544,-145.969009,225.548889,201.499390,-206.618011,206.359848,228.285233,-206.747147,128.966934,244.700455,-149.572433,152.306107,228.009644,-70.013298,81.806129,263.477081,-84.218353,33.856674,233.210831,7.886555,9.151756,207.860580,-8.465822,68.397133,172.325348,94.741982,54.802269,221.750504,88.701401,40.539600,221.085495,112.381699,31.698641,194.914871,116.429909,68.583176,161.035736,214.414688,21.535215,-159.297714,-133.903351,342.049164,-171.523102,-189.831940,342.303864,-224.222244,-188.935684,308.289276,-210.556381,-120.432373,314.368256,-252.905075,-114.614357,203.882172,-272.677521,-173.500137,217.301804,-274.820526,-178.239685,137.029190,-267.630402,-118.038155,120.846848,-258.029938,-80.535950,67.836662,-287.285828,-69.453163,18.295109,-266.433777,11.837857,18.794031,-226.507294,-2.492475,64.004364,-197.171967,115.893646,56.234444,-243.240585,106.078293,46.945320,-251.803223,130.612534,28.695074,-234.662201,140.189499,66.709015,-191.337158,235.379181,21.066877,-40.004044,-82.133514,282.225555,,,,,,,,,,,,,,,,165.724289,142.069550,43.881859,114.403542,156.960571,16.410299,,,,,,,,,,,,,,,,-194.570206,160.544922,46.071064,-139.096909,172.235916,17.336603
9,0,80.077072,-115.196800,337.370789,99.413376,-171.662796,352.897980,154.392334,-157.532608,329.462280,132.845840,-97.782333,327.002594,219.338135,-145.960144,225.554367,201.493103,-206.627502,206.355194,228.282425,-206.751816,128.985168,244.719910,-149.588760,152.298401,227.984528,-70.014442,81.781776,263.457153,-84.222855,33.866600,233.228867,7.877400,9.178396,207.848923,-8.464706,68.382339,172.324265,94.746956,54.807533,221.727539,88.696785,40.536911,221.106995,112.386932,31.725754,194.892044,116.442184,68.565994,161.033218,214.427505,21.538809,-159.284119,-133.925507,342.062866,-171.521347,-189.841858,342.312347,-224.244797,-188.951920,308.292999,-210.570831,-120.441620,314.365814,-252.907837,-114.604790,203.881989,-272.688629,-173.499115,217.301315,-274.841644,-178.244858,137.008804,-267.645782,-118.048569,120.864700,-258.024658,-80.522011,67.819893,-287.304840,-69.460594,18.303589,-266.433044,11.843915,18.803926,-226.513931,-2.492506,64.004906,-197.202072,115.890503,56.241196,-243.240295,106.048523,46.861496,-251.795883,130.623932,28.648695,-234.667816,140.186661,66.707405,-191.335159,235.381302,21.074636,-40.007034,-82.148125,282.224670,,,,,,,,,,,,,,,,165.725418,142.053146,43.894268,114.402718,156.967957,16.401503,,,,,,,,,,,,,,,,-194.568192,160.553787,46.067890,-139.110458,172.227432,17.377676
