Trajectories
100
,,ADL007:RSHO1,,,ADL007:RSHO2,,,ADL007:RSHO3,,,ADL007:RSHO4,,,ADL007:RUAR1,,,ADL007:RUAR2,,,ADL007:RUAR3,,,ADL007:RUAR4,,,ADL007:RLAR1,,,ADL007:RLAR2,,,ADL007:RLAR3,,,ADL007:RLAR4,,,ADL007:RHAN1,,,ADL007:RHAN2,,,ADL007:RHAN3,,,ADL007:RHAN4,,,ADL007:RFTP,,,ADL007:LSHO1,,,ADL007:LSHO2,,,ADL007:LSHO3,,,ADL007:LSHO4,,,ADL007:LUAR1,,,ADL007:LUAR2,,,ADL007:LUAR3,,,ADL007:LUAR4,,,ADL007:LLAR1,,,ADL007:LLAR2,,,ADL007:LLAR3,,,ADL007:LLAR4,,,ADL007:LHAN1,,,ADL007:LHAN2,,,ADL007:LHAN3,,,ADL007:LHAN4,,,ADL007:LFTP,,,ADL007:STRN,,,ADL007:RGTH,,,ADL007:RLEP,,,ADL007:RMEP,,,ADL007:RSPR,,,ADL007:RSPU,,,ADL007:RFB,,,ADL007:RTHUM,,,ADL007:LGTH,,,ADL007:LLEP,,,ADL007:LMEP,,,ADL007:LSPR,,,ADL007:LSPU,,,ADL007:LFB,,,ADL007:LTHUM,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,117.756935,-160.594620,344.821655,130.222473,-220.982193,350.394928,184.868225,-209.572510,324.605988,171.207962,-148.894318,331.539154,237.875259,-146.421738,223.229767,246.928406,-209.132599,201.071350,264.149048,-195.363953,120.541397,254.281433,-136.639587,148.032150,210.840698,-55.738079,78.997986,266.967346,-62.112679,56.947823,247.947906,32.886753,32.638618,196.307251,6.362242,66.256332,182.163818,113.471069,59.178467,230.531281,108.460335,46.108902,229.589508,136.832840,38.232868,202.905212,134.644989,74.052406,180.292648,238.278336,20.091766,-120.370934,-146.959122,361.935486,-146.928513,-197.720657,365.239594,-202.413452,-179.862885,341.641968,-170.155426,-118.004318,344.245636,-248.132721,-106.904877,228.312164,-270.725830,-164.916168,241.236862,-280.243103,-167.040405,161.268585,-271.036133,-106.778015,146.610611,-265.771057,-48.975536,95.906700,-301.718567,-49.049801,49.899799,-289.806091,32.681953,34.103310,-244.489624,29.951536,76.583565,-214.225510,139.943176,57.204288,-261.668945,139.803177,51.119587,-266.333557,166.798279,34.704952,-243.923080,169.904572,70.905045,-201.972122,260.896912,22.762285,-7.826806,-115.386581,319.310699,,,,,,,,,,,,,,,,161.581497,165.957855,45.173946,117.749382,175.110535,20.345961,,,,,,,,,,,,,,,,-195.030151,190.310654,44.890598,-139.368042,180.691498,18.971703
2,0,117.760155,-160.590942,344.819458,130.236526,-220.968781,350.385254,184.882202,-209.660522,324.530426,171.245682,-148.865341,331.511353,237.886490,-146.444687,223.142593,246.958817,-209.112915,201.031204,264.216339,-195.320801,120.451385,254.292282,-136.641724,147.994904,210.750259,-55.540867,79.112129,266.966492,-62.084534,56.951183,247.934006,32.927910,32.649101,196.296494,6.362587,66.241486,182.165161,113.502960,59.191853,230.585083,108.357071,46.019470,229.593842,136.791565,38.216816,202.870987,134.653732,74.071838,180.325348,238.300217,20.020365,-120.357971,-146.944839,361.958221,-146.913071,-197.678345,365.272217,-202.402405,-179.849167,341.708893,-170.129715,-117.956345,344.269897,-248.155121,-106.877701,228.355423,-270.708588,-164.875641,241.287186,-280.294708,-167.018677,161.343201,-271.080292,-106.806946,146.654678,-265.806763,-48.932281,95.939034,-301.743195,-49.011013,49.914898,-289.817657,32.705288,34.131271,-244.538071,29.992599,76.643410,-214.255737,139.940887,57.229908,-261.663788,139.808746,51.111477,-266.311737,166.804688,34.725857,-243.912811,169.930435,70.940109,-201.973633,260.906403,22.762598,-7.814791,-115.368462,319.307312,,,,,,,,,,,,,,,,161.604828,165.924576,45.189461,117.759605,175.125839,20.327940,,,,,,,,,,,,,,,,-195.025909,190.339676,44.900070,-139.378250,180.712585,18.965635
3,0,117.842041,-160.515945,344.825775,130.254868,-220.967285,350.362518,184.911392,-209.617706,324.503540,171.279510,-148.857697,331.482239,237.949936,-146.427979,223.098907,247.002853,-209.071579,200.945709,264.223541,-195.305923,120.413902,254.296600,-136.660721,147.963745,210.912918,-55.775696,79.223770,266.971771,-62.095985,56.921967,247.961197,32.813122,32.551903,196.305511,6.354537,66.211891,182.069717,113.477432,59.188450,230.534927,108.454849,46.059753,229.602600,136.795456,38.201290,202.898209,134.635162,74.045822,180.332031,238.301910,20.041843,-120.303383,-146.909302,361.971649,-146.875092,-197.636917,365.281616,-202.363022,-179.801208,341.718811,-170.115143,-117.953522,344.322540,-248.127975,-106.853951,228.400314,-270.713531,-164.872528,241.361862,-280.314636,-166.991440,161.414871,-271.100830,-106.781418,146.729782,-265.881592,-48.889229,95.983757,-301.803009,-49.000320,49.953106,-289.830200,32.739273,34.140831,-244.580460,30.032724,76.672371,-214.216782,139.978607,57.214794,-261.670227,139.836807,51.138332,-266.332581,166.815033,34.718487,-243.888031,169.969376,70.913574,-201.962448,260.911713,22.759356,-7.804781,-115.339699,319.332642,,,,,,,,,,,,,,,,161.603912,165.922562,45.195736,117.782532,175.142914,20.314831,,,,,,,,,,,,,,,,-195.025467,190.337173,44.908756,-139.373123,180.722809,18.959946
4,0,117.862953,-160.543152,344.790619,130.273926,-220.967972,350.363708,184.915649,-209.580505,324.522705,171.293777,-148.863968,331.460358,237.997375,-146.416031,223.081055,247.014938,-209.081635,200.920563,264.262512,-195.257263,120.310257,254.358643,-136.664215,147.901978,210.832748,-55.814327,79.160042,266.969666,-62.113194,56.844753,247.966278,32.845596,32.528458,196.309021,6.344169,66.203766,182.070724,113.508751,59.205627,230.574554,108.389725,45.994526,229.577225,136.850601,38.233509,202.874191,134.632019,74.037025,180.351059,238.314651,20.082125,-120.285141,-146.900146,361.995972,-146.863983,-197.608856,365.321045,-202.344559,-179.768753,341.737610,-170.109680,-117.923309,344.350281,-248.132950,-106.841805,228.440613,-270.740356,-164.851685,241.418793,-280.338562,-166.955963,161.445404,-271.121765,-106.758545,146.776367,-265.958893,-48.852882,96.017540,-301.835388,-48.969852,49.985039,-289.849701,32.755470,34.141445,-244.619492,30.056433,76.719528,-214.219269,139.998734,57.213375,-261.675842,139.856796,51.143105,-266.326874,166.821716,34.782459,-243.877594,169.978195,70.920990,-201.953262,260.926514,22.751032,-7.737154,-115.338654,319.308441,,,,,,,,,,,,,,,,161.593796,165.917603,45.170727,117.781761,175.141190,20.313162,,,,,,,,,,,,,,,,-195.024261,190.335724,44.902737,-139.358673,180.725601,18.946480
5,0,117.872993,-160.544174,344.777313,130.326279,-220.931625,350.327087,184.922256,-209.515610,324.486023,171.329315,-148.854675,331.425568,237.987961,-146.413864,223.065536,247.032578,-209.086929,200.886856,264.246399,-195.275009,120.289536,254.277405,-136.670746,147.881042,210.915176,-55.801617,79.137535,266.965576,-62.109489,56.829647,247.987946,32.886425,32.538292,196.314529,6.353382,66.191750,182.069336,113.538498,59.205719,230.561050,108.364983,45.964108,229.586884,136.807480,38.202969,202.884735,134.592270,74.030640,180.355698,238.334869,20.107883,-120.273056,-146.856140,362.015320,-146.857407,-197.588425,365.366974,-202.331223,-179.740891,341.763947,-170.065598,-117.882736,344.373566,-248.132996,-106.819107,228.489059,-270.739716,-164.835693,241.463348,-280.355072,-166.931213,161.494614,-271.173737,-106.727371,146.828644,-265.986786,-48.812119,96.046341,-301.862579,-48.948162,50.004105,-289.857849,32.772305,34.149410,-244.672455,30.079704,76.772179,-214.218582,140.004837,57.229916,-261.661865,139.852203,51.225361,-266.323090,166.848297,34.784683,-243.876541,169.987122,70.939415,-201.959290,260.924805,22.778858,-7.721886,-115.234512,319.359253,,,,,,,,,,,,,,,,161.603653,165.912689,45.227955,117.736137,175.173294,20.351778,,,,,,,,,,,,,,,,-194.988495,190.377716,44.840191,-139.380341,180.724014,18.946663
6,0,117.873962,-160.551147,344.756897,130.288406,-220.983154,350.353546,184.912354,-209.485535,324.463135,171.348221,-148.867828,331.413605,237.986237,-146.409134,223.068268,247.034302,-209.116562,200.855713,264.231506,-195.291168,120.280159,254.291809,-136.662476,147.862915,210.905411,-55.798927,79.132309,266.950439,-62.100956,56.819180,247.936874,32.947857,32.594048,196.321548,6.347188,66.152657,182.192047,113.442062,59.148773,230.541504,108.441429,46.035881,229.568512,136.830292,38.181423,202.900269,134.585800,74.023216,180.362076,238.314102,20.044764,-120.257492,-146.848343,362.038605,-146.850189,-197.555481,365.386505,-202.321579,-179.704468,341.794189,-170.055267,-117.838440,344.391266,-248.138748,-106.801193,228.516418,-270.740082,-164.836288,241.525925,-280.409790,-166.923416,161.570648,-271.202087,-106.695572,146.866165,-266.029144,-48.787910,96.089355,-301.914093,-48.925644,50.036671,-289.865723,32.807953,34.158150,-244.701019,30.097132,76.796165,-214.224518,140.000168,57.265644,-261.646881,139.851059,51.231667,-266.317871,166.849457,34.814007,-243.871094,169.981522,70.941299,-201.906784,260.904175,22.738422,-7.735811,-115.346275,319.326294,,,,,,,,,,,,,,,,161.600891,165.932251,45.257797,117.697205,175.164246,20.372168,,,,,,,,,,,,,,,,-195.010651,190.349579,44.900242,-139.383438,180.705460,18.960344
7,0,117.891609,-160.596817,344.752747,130.341370,-220.957123,350.321899,184.933777,-209.610886,324.396027,171.356674,-148.865845,331.387665,237.980209,-146.412689,223.084244,247.013718,-209.145294,200.850220,264.198242,-195.335266,120.300140,254.322266,-136.676254,147.845184,210.837494,-55.813057,79.148460,266.939636,-62.103172,56.817856,247.936752,32.903244,32.521587,196.306961,6.326707,66.152901,182.186920,113.457115,59.164452,230.547470,108.418755,46.022907,229.591568,136.849487,38.222439,202.901093,134.570770,74.018661,180.365555,238.309418,20.086332,-120.223663,-146.815994,362.059723,-146.821320,-197.526901,365.399139,-202.323929,-179.697876,341.876801,-170.058090,-117.801659,344.411865,-248.138672,-106.771629,228.539795,-270.736115,-164.803848,241.545380,-280.430389,-166.863724,161.607895,-271.242065,-106.628410,146.958984,-266.101410,-48.758553,96.141975,-301.945953,-48.918552,50.080738,-289.909607,32.804626,34.200981,-244.731064,30.101027,76.837265,-214.217712,140.014923,57.266899,-261.646515,139.840134,51.234890,-266.313263,166.876434,34.833126,-243.858932,169.999435,70.975082,-201.933975,260.918030,22.778740,-7.699958,-115.292336,319.391510,,,,,,,,,,,,,,,,161.606461,165.927383,45.262562,117.768906,175.158676,20.323053,,,,,,,,,,,,,,,,-195.005966,190.361084,44.889420,-139.398865,180.692368,18.962013
8,0,117.962471,-160.506027,344.773102,130.344711,-220.977707,350.324646,184.151886,-210.454102,323.151825,171.374252,-148.883423,331.385803,237.967911,-146.388214,223.074280,246.989624,-209.212082,200.841919,264.147705,-195.387924,120.324860,254.320984,-136.722168,147.842087,210.817200,-55.815865,79.152924,266.872986,-62.135361,56.810253,247.956894,32.896179,32.538200,196.309326,6.325301,66.120804,182.183578,113.463928,59.153709,230.582611,108.343811,45.977745,229.571564,136.828049,38.238651,202.889420,134.551041,74.012642,180.384155,238.330963,20.082207,-120.243690,-146.819611,362.101532,-146.817398,-197.504105,365.410919,-202.312027,-179.665115,341.894592,-170.042328,-117.773216,344.458527,-248.146729,-106.763405,228.572723,-270.749847,-164.768631,241.590149,-280.460815,-166.821030,161.649017,-271.292358,-106.601326,147.010162,-266.118927,-48.712402,96.192825,-301.955292,-48.900784,50.119770,-289.915009,32.833309,34.207386,-244.754150,30.127213,76.881767,-214.255814,139.987823,57.358444,-261.637146,139.860382,51.253513,-266.309265,166.886108,34.841728,-243.864517,170.009613,71.014542,-201.931396,260.931122,22.768299,-7.702860,-115.264023,319.396454,,,,,,,,,,,,,,,,161.588242,165.921310,45.288525,117.746788,175.193848,20.348747,,,,,,,,,,,,,,,,-194.964294,190.400055,44.884266,-139.404495,180.714584,18.955610
9,0,117.952499,-160.516281,344.688171,130.340469,-220.993637,350.320038,184.153336,-210.498459,323.138153,171.385773,-148.892853,331.380493,237.965775,-146.420044,223.050827,246.999969,-209.234711,200.820282,264.127655,-195.414368,120.319359,254.303787,-136.694687,147.843185,210.829895,-55.869370,79.132195,266.887421,-62.165653,56.789310,247.912094,32.912487,32.513523,196.281937,6.334620,66.083366,182.189240,113.450943,59.167435,230.555038,108.431076,46.026291,229.569351,136.841064,38.218124,202.956360,134.559479,73.997559,180.378937,238.304749,20.097887,-120.198769,-146.782944,362.108582,-146.790237,-197.458755,365.438354,-202.272003,-179.627243,341.901581,-170.033646,-117.761261,344.468781,-248.153748,-106.739250,228.613907,-270.749207,-164.731522,241.618393,-280.475952,-166.793106,161.721024,-271.295624,-106.575317,147.036194,-266.136169,-48.671532,96.213196,-301.967529,-48.874237,50.129486,-289.912903,32.852943,34.220863,-244.768631,30.145983,76.919540,-214.246475,140.009705,57.360821,-261.621735,139.835999,51.247124,-266.318481,166.891174,34.847988,-243.851166,170.000275,71.024261,-201.918594,260.929657,22.773586,-7.738094,-115.324707,319.365845,,,,,,,,,,,,,,,,161.610214,165.909653,45.304466,117.786766,175.150558,20.323671,,,,,,,,,,,,,,,,-194.975327,190.383987,44.896259,-139.397903,180.703064,18.953627
